imdb_id,wiki_url,box_office,box_office_cleaned_inr_crore
tt2229848,https://en.wikipedia.org/wiki/Chashme_Baddoor_(2013_film),₹ 50 crore,50.0
tt6041458,https://en.wikipedia.org/wiki/Devi_(2016_film),,
tt3672618,https://en.wikipedia.org/wiki/Dekh_Tamasha_Dekh,,
tt2104937,https://en.wikipedia.org/wiki/Miley_Naa_Miley_Hum,,
tt3449292,https://en.wikipedia.org/wiki/Manjhi_–_The_Mountain_Man,est. ₹18 crore (US$2.1&nbsp;million) 50 weeks,18.0
tt2106537,https://en.wikipedia.org/wiki/Matru_Ki_Bijlee_Ka_Mandola,₹31.15 crore (US$3.7&nbsp;million),31.15
tt2033947,https://en.wikipedia.org/wiki/Aazaan,"₹50 million (US$590,000)(Nett)",5.0
tt1848771,https://en.wikipedia.org/wiki/Aarakshan,₹645 million (US$7.6&nbsp;million),64.5
tt4249442,https://en.wikipedia.org/wiki/Sunglass_(film),,
tt3021244,https://en.wikipedia.org/wiki/Chaarfutiya_Chhokare,,
tt3678782,https://en.wikipedia.org/wiki/Badlapur_(film),est. ₹81.30 crore,81.3
tt1980970,https://en.wikipedia.org/wiki/Dear_Friend_Hitler,,
tt3726012,https://en.wikipedia.org/wiki/Mastizaade,est. ₹ 364.4 million,36.44
tt3038772,https://en.wikipedia.org/wiki/Kaanchi_(2014_film),,
tt2130242,https://en.wikipedia.org/wiki/Tere_Naal_Love_Ho_Gaya,₹32.61 crore,32.61
tt7059844,https://en.wikipedia.org/wiki/Dabangg_3,est. ₹230 crore,230.0
tt2424988,https://en.wikipedia.org/wiki/Gabbar_Is_Back,₹135.81 crore,135.81
tt2424988,https://en.wikipedia.org/wiki/Gabbar_Is_Back,₹135.81 crore,135.81
tt8902990,https://en.wikipedia.org/wiki/The_Sky_Is_Pink,est. ₹344.1&nbsp;million,34.41
tt7363076,https://en.wikipedia.org/wiki/Raid_(2018_film),₹153.62 crore,153.62
tt1942905,https://en.wikipedia.org/wiki/Kucch_Luv_Jaisaa,,
tt2551378,https://en.wikipedia.org/wiki/Bullett_Raja,₹53.60 crore,53.6
tt4335698,https://en.wikipedia.org/wiki/Honour_Killing_(film),,
tt2804026,https://en.wikipedia.org/wiki/Aurangzeb_(film),"est. ₹36.5
 crore",36.5
tt9558612,https://en.wikipedia.org/wiki/PM_Narendra_Modi,₹28.51 crores,28.51
tt10833860,https://en.wikipedia.org/wiki/Daaka,,
tt3640942,https://en.wikipedia.org/wiki/Koyelaanchal,,
tt6118134,https://en.wikipedia.org/wiki/Anna_(2016_film),,
tt4814290,https://en.wikipedia.org/wiki/Te3n,est. ₹323.1 million,32.31
tt4581032,https://en.wikipedia.org/wiki/Luv_U_Alia,,
tt4897908,https://en.wikipedia.org/wiki/Calendar_Girls_(2015_film),est. ₹58.95 million,5.9
tt4272420,https://en.wikipedia.org/wiki/Kuch_Kuch_Locha_Hai,₹32.6&nbsp;million,3.26
tt10196464,https://en.wikipedia.org/wiki/Ramprasad_Ki_Tehrvi,0.27 crore,
tt5668770,https://en.wikipedia.org/wiki/Mardaani_2,₹67.12 crore,67.12
tt1825655,https://en.wikipedia.org/wiki/Angel_(2011_film),,
tt2978626,https://en.wikipedia.org/wiki/Entertainment_(2014_film),₹115.93 crore,115.93
tt5933706,https://en.wikipedia.org/wiki/Saansein,,
tt2404187,https://en.wikipedia.org/wiki/Bloody_Isshq,,
tt3848892,https://en.wikipedia.org/wiki/Baby_(2015_Hindi_film),₹143 crore,143.0
tt4995402,https://en.wikipedia.org/wiki/Bumper_Draw,,
tt2912578,https://en.wikipedia.org/wiki/Ankur_Arora_Murder_Case,₹10 crore,10.0
tt5752374,https://en.wikipedia.org/wiki/Shorgul,,
tt4675030,https://en.wikipedia.org/wiki/Great_Grand_Masti,₹19 crore,19.0
tt2150177,https://en.wikipedia.org/wiki/Bhaiaji_Superhit,₹6.25 crore,6.25
tt2408040,https://en.wikipedia.org/wiki/B.A._Pass,₹284 million,28.4
tt5165344,https://en.wikipedia.org/wiki/Rustom_(film),est. ₹218.12 crore,218.12
tt4340180,https://en.wikipedia.org/wiki/Direct_Ishq,₹56 lakh,0.56
