imdb_id,wiki_url,box_office
tt3449292,https://en.wikipedia.org/wiki/Manjhi_–_The_Mountain_Man,est. ₹18 crore (US$2.1&nbsp;million) 50 weeks
tt2106537,https://en.wikipedia.org/wiki/Matru_Ki_Bijlee_Ka_Mandola,₹31.15 crore (US$3.7&nbsp;million)
tt2033947,https://en.wikipedia.org/wiki/Aazaan,"₹50 million (US$590,000)(Nett)"
tt1848771,https://en.wikipedia.org/wiki/Aarakshan,₹645 million (US$7.6&nbsp;million)
tt4249442,https://en.wikipedia.org/wiki/Sunglass_(film),
tt3021244,https://en.wikipedia.org/wiki/Chaarfutiya_Chhokare,
tt3678782,https://en.wikipedia.org/wiki/Badlapur_(film),est. ₹81.30 crore
tt1980970,https://en.wikipedia.org/wiki/Dear_Friend_Hitler,
tt3726012,https://en.wikipedia.org/wiki/Mastizaade,est. ₹ 364.4 million
tt3038772,https://en.wikipedia.org/wiki/Kaanchi_(2014_film),
tt2130242,https://en.wikipedia.org/wiki/Tere_Naal_Love_Ho_Gaya,₹32.61 crore
tt7059844,https://en.wikipedia.org/wiki/Dabangg_3,est. ₹230 crore
tt2424988,https://en.wikipedia.org/wiki/Gabbar_Is_Back,₹135.81 crore
tt2424988,https://en.wikipedia.org/wiki/Gabbar_Is_Back,₹135.81 crore
tt8902990,https://en.wikipedia.org/wiki/The_Sky_Is_Pink,est. ₹344.1&nbsp;million
tt7363076,https://en.wikipedia.org/wiki/Raid_(2018_film),₹153.62 crore
tt1942905,https://en.wikipedia.org/wiki/Kucch_Luv_Jaisaa,
tt2551378,https://en.wikipedia.org/wiki/Bullett_Raja,₹53.60 crore
tt4335698,https://en.wikipedia.org/wiki/Honour_Killing_(film),
tt2804026,https://en.wikipedia.org/wiki/Aurangzeb_(film),"est. ₹36.5
 crore"
tt9558612,https://en.wikipedia.org/wiki/PM_Narendra_Modi,₹28.51 crores
tt10833860,https://en.wikipedia.org/wiki/Daaka,
tt3640942,https://en.wikipedia.org/wiki/Koyelaanchal,
tt6118134,https://en.wikipedia.org/wiki/Anna_(2016_film),
tt4814290,https://en.wikipedia.org/wiki/Te3n,est. ₹323.1 million
tt4581032,https://en.wikipedia.org/wiki/Luv_U_Alia,
tt4897908,https://en.wikipedia.org/wiki/Calendar_Girls_(2015_film),est. ₹58.95 million
tt4272420,https://en.wikipedia.org/wiki/Kuch_Kuch_Locha_Hai,₹32.6&nbsp;million
tt10196464,https://en.wikipedia.org/wiki/Ramprasad_Ki_Tehrvi,0.27 crore
tt5668770,https://en.wikipedia.org/wiki/Mardaani_2,₹67.12 crore
tt1825655,https://en.wikipedia.org/wiki/Angel_(2011_film),
tt2978626,https://en.wikipedia.org/wiki/Entertainment_(2014_film),₹115.93 crore
tt5933706,https://en.wikipedia.org/wiki/Saansein,
tt2404187,https://en.wikipedia.org/wiki/Bloody_Isshq,
tt3848892,https://en.wikipedia.org/wiki/Baby_(2015_Hindi_film),₹143 crore
tt4995402,https://en.wikipedia.org/wiki/Bumper_Draw,
tt2912578,https://en.wikipedia.org/wiki/Ankur_Arora_Murder_Case,₹10 crore
tt5752374,https://en.wikipedia.org/wiki/Shorgul,
tt4675030,https://en.wikipedia.org/wiki/Great_Grand_Masti,₹19 crore
tt2150177,https://en.wikipedia.org/wiki/Bhaiaji_Superhit,₹6.25 crore
tt2408040,https://en.wikipedia.org/wiki/B.A._Pass,₹284 million
tt5165344,https://en.wikipedia.org/wiki/Rustom_(film),est. ₹218.12 crore
tt4340180,https://en.wikipedia.org/wiki/Direct_Ishq,₹56 lakh
